a,b,clv,cpp,dma1_name,sales1_name,all_name,curvegroup_name,chan1_name,chan2_name
26502.6575,3.07E-08,1,0.3189639,National,Slate Card - New Applications,overall,weekly,Direct Mail,Card Slate Acquisition
11637.53,3.83E-07,1,0.443729553,National,Freedom Card - New Applications,overall,weekly,Direct Mail,Card Freedom Acquisition
8982.4825,6.96E-06,1,3.458375186,National,Freedom Card - New Applications,overall,weekly,Affiliates,Card Freedom Total
8847.6825,2.14E-08,1,0.546585214,National,Freedom Card - New Applications,overall,weekly,Direct Mail,Consumer
8641.5975,5.38E-05,1,1.546252105,National,Slate Card - New Applications,overall,weekly,Affiliates,Card Slate Total
6389.5,2.01E-08,1,1,National,Consumer Checking - New Checking Accounts,overall,weekly,Television,Card Total Total
5445.0475,4.75E-06,1,2.005773776,National,Freedom Card - New Applications,overall,weekly,Paid Search,Card Multicard Total
4763.295,7.20E-07,1,2.999893011,National,Freedom Card - New Applications,overall,weekly,Television,Card Freedom Awareness
4453.7425,2.08E-08,1,1,National,Consumer Checking - New Checking Accounts,overall,weekly,Television,Retail Consumer Acquisition
3295.855,6.54E-05,1,1.027460974,National,Sapphire Card - New Applications,overall,weekly,Affiliates,Card Sapphire Total
3098.09,1.38E-06,1,0.019644634,National,Freedom Card - New Applications,overall,weekly,Online Display,Card Freedom Awareness
2984.66,2.16E-08,1,1,National,Consumer Savings - New Savings Accounts,overall,weekly,Television,Retail Consumer Acquisition
2884.04,1.70E-06,1,2.005773776,National,Sapphire Card - New Applications,overall,weekly,Paid Search,Card Multicard Total
2706.6825,7.61E-06,1,1.692196443,National,Ink Card - New Applications,overall,weekly,Affiliates,Card Ink Total
2466.0275,4.10E-06,1,0.005923313,National,Consumer Checking - New Checking Accounts,overall,weekly,Online Display,Retail Consumer Awareness
1917.0025,2.58E-07,1,1,National,Consumer Savings - New Savings Accounts,overall,weekly,Television,Card Total Total
1788.755,5.05E-06,1,0.549584758,National,Freedom Card - New Applications,overall,weekly,Paid Search,Retail Consumer Brand
1739.025,2.17E-06,1,0.002612159,National,Consumer Savings - New Savings Accounts,overall,weekly,Online Display,Retail Mortgage Acquisition
1568.19,1.34E-05,1,7.287762163,National,Freedom Card - New Applications,overall,weekly,Paid Search,Card Multicard Generic
1487.6875,2.45E-07,1,1,National,Freedom Card - New Applications,overall,weekly,Television,Retail Consumer Acquisition
1468.9725,1.42E-06,1,1.999988208,National,Freedom Card - New Applications,overall,weekly,Television,Card Sapphire Awareness
1443.035,1.37E-07,1,2.999893011,National,Slate Card - New Applications,overall,weekly,Television,Card Freedom Awareness
