a,b,cpp,all_name,curvegroup_name,dma1_name,chan1_name,sales1_name,chan2_name
2961.089012,4.44E-08,0.008120951,overall,weekly,National,Freedom,Freedom Card - New Applications,Online Display
518.4039886,5.45E-08,0.008120951,overall,weekly,National,Freedom,Slate Card - New Applications,Online Display
9039.890927,7.49E-05,4.554955766,overall,weekly,National,Freedom,Freedom Card - New Applications,Affiliates
1790.489551,1.48E-07,0.014754522,overall,weekly,National,Freedom,Freedom Card - New Applications,Online Video
4910.200683,0.362273882,53817.61961,overall,weekly,National,Freedom,Freedom Card - New Applications,Television
1172.156922,0.067305677,53817.61961,overall,weekly,National,Freedom,Sapphire Card - New Applications,Television
1765.031857,0.068786237,53817.61961,overall,weekly,National,Freedom,Slate Card - New Applications,Television
12742.72312,5.19E-07,0.438161596,overall,weekly,National,Freedom,Freedom Card - New Applications,Direct Mail
375.5575704,2.85E-06,0.039609181,overall,weekly,National,Freedom,Freedom Card - New Applications,Magazine
279.1773631,2.33E-08,0.007263246,overall,weekly,National,Partner,Sapphire Card - New Applications,Newspaper
547.4736596,4.12E-05,1.804663089,overall,weekly,National,Partner,Slate Card - New Applications,Paid Search
444.45595,2.89E-05,1.804663089,overall,weekly,National,Partner,Sapphire Card - New Applications,Paid Search
153.9516194,1.54E-06,0.010557155,overall,weekly,National,Retail Other,Consumer Checking - New Checking Accounts,Online Display
8006.132996,5.75E-05,1.957298839,overall,weekly,National,Multicard,Freedom Card - New Applications,Paid Search
281.6087046,2.10E-05,1.957298839,overall,weekly,National,Multicard,Ink Card - New Applications,Paid Search
8459.719151,9.53E-06,1.957298839,overall,weekly,National,Multicard,Slate Card - New Applications,Paid Search
3098.390202,2.06E-05,1.957298839,overall,weekly,National,Multicard,Sapphire Card - New Applications,Paid Search
1267.800072,9.84E-08,0.003943428,overall,weekly,National,Ink,Ink Card - New Applications,Online Display
539.8905344,7.49E-09,0.003943428,overall,weekly,National,Ink,Business Checking - New Checking Accounts,Online Display
3747.015207,2.89E-05,1.72612936,overall,weekly,National,Ink,Ink Card - New Applications,Affiliates
667.0068103,1.058110831,137406.6177,overall,weekly,National,Ink,Ink Card - New Applications,Television
297.9526255,0.221903697,137406.6177,overall,weekly,National,Ink,Business Checking - New Checking Accounts,Television
394.1785191,0.000332612,7.317207445,overall,weekly,National,Ink,Ink Card - New Applications,Paid Search
3408.993597,6.96E-07,0.683361067,overall,weekly,National,Ink,Ink Card - New Applications,Direct Mail
722.4110539,1.67E-08,0.004731433,overall,weekly,National,Sapphire,Sapphire Card - New Applications,Online Display
3152.093545,2.44E-09,0.004731433,overall,weekly,National,Sapphire,Slate Card - New Applications,Online Display
3316.096471,0.000244851,1.611003585,overall,weekly,National,Sapphire,Sapphire Card - New Applications,Affiliates
722.4096144,1.00E-07,0.019784837,overall,weekly,National,Sapphire,Sapphire Card - New Applications,Online Video
1493.224377,0.969049634,155062.4744,overall,weekly,National,Sapphire,Freedom Card - New Applications,Television
956.1493135,0.401529304,155062.4744,overall,weekly,National,Sapphire,Sapphire Card - New Applications,Television
1334.54047,2.97E-06,0.963898147,overall,weekly,National,Sapphire,Sapphire Card - New Applications,Direct Mail
1203.627326,2.40E-07,0.079665759,overall,weekly,National,Sapphire,Sapphire Card - New Applications,Magazine
8587.102642,0.000318795,2.326009916,overall,weekly,National,Slate,Slate Card - New Applications,Affiliates
36689.40566,2.85E-08,0.328408769,overall,weekly,National,Slate,Slate Card - New Applications,Direct Mail
1258.390737,4.35E-07,0.004315422,overall,weekly,National,Consumer,Consumer Checking - New Checking Accounts,Online Display
1517.597748,4.08E-06,1,overall,weekly,National,Consumer,Freedom Card - New Applications,Television
1771.267218,1.17E-06,1,overall,weekly,National,Consumer,Consumer Savings - New Savings Accounts,Television
485.8754533,3.58E-07,1,overall,weekly,National,Consumer,Business Checking - New Checking Accounts,Television
17843018.17,1.19E-06,1,overall,weekly,National,Consumer,Consumer Savings - Total Balances,Television
74.90124445,0.001123609,66.46295116,overall,weekly,National,Consumer,Consumer Savings - New Savings Accounts,Radio
106602.7277,0.000999434,66.46295116,overall,weekly,National,Consumer,Consumer Savings - Total Balances,Radio
240.8269349,0.001134105,66.46295116,overall,weekly,National,Consumer,Consumer Checking - New Checking Accounts,Radio
269.3815861,3.03E-06,0.593806978,overall,weekly,National,Consumer,Business Checking - New Checking Accounts,Paid Search
1849.174212,7.24E-06,0.593806978,overall,weekly,National,Consumer,Freedom Card - New Applications,Paid Search
10760.35742,3.86E-08,0.563948789,overall,weekly,National,Consumer,Freedom Card - New Applications,Direct Mail
5998.444586,3.45E-07,0.563948789,overall,weekly,National,Consumer,Consumer Savings - New Savings Accounts,Direct Mail
21136.50633,1.84E-07,0.563948789,overall,weekly,National,Consumer,Consumer Checking - New Checking Accounts,Direct Mail
100129810.6,7.03E-07,0.563948789,overall,weekly,National,Consumer,Consumer Savings - Total Balances,Direct Mail
31160938.44,1.96E-07,0.563948789,overall,weekly,National,Consumer,Consumer Checking - Total Balances,Direct Mail
723.5549779,5.36E-07,0.563948789,overall,weekly,National,Consumer,Business Checking - New Checking Accounts,Direct Mail
4319612.039,5.03E-08,0.004165412,overall,weekly,National,Retail Total,Consumer Checking - Total Balances,Online Display
955.1408322,1.71E-07,0.004165412,overall,weekly,National,Retail Total,Consumer Savings - New Savings Accounts,Online Display
8965648.066,5.10E-08,0.004165412,overall,weekly,National,Retail Total,Consumer Savings - Total Balances,Online Display
22.11692212,0.005285192,1,overall,weekly,National,Retail Total,Consumer Savings - New Savings Accounts,Trade Magazine
259.5074479,1.12E-07,0.008429469,overall,weekly,National,Retail Total,Consumer Checking - New Checking Accounts,Online Video
12133211.51,6.62E-08,0.008429469,overall,weekly,National,Retail Total,Consumer Savings - Total Balances,Online Video
845.3366521,6.69E-08,0.008429469,overall,weekly,National,Retail Total,Consumer Savings - New Savings Accounts,Online Video
7341954.777,3.04E-08,0.008429469,overall,weekly,National,Retail Total,Consumer Checking - Total Balances,Online Video
10722717.92,4.20E-06,1,overall,weekly,National,Retail Total,Consumer Checking - Total Balances,Television
2093.509805,4.02E-06,1,overall,weekly,National,Retail Total,Consumer Checking - New Checking Accounts,Television
130.7718691,2.19E-06,0.032050917,overall,weekly,National,Retail Total,Consumer Checking - New Checking Accounts,Newspaper
357764.5313,1.43E-06,0.032050917,overall,weekly,National,Retail Total,Consumer Savings - Total Balances,Newspaper
118.2668605,9.91E-07,0.032050917,overall,weekly,National,Retail Total,Consumer Savings - New Savings Accounts,Newspaper
1427.473357,1.86E-05,0.611073376,overall,weekly,National,Retail Total,Consumer Checking - New Checking Accounts,Paid Search
12048945.09,7.28E-06,0.611073376,overall,weekly,National,Retail Total,Consumer Savings - Total Balances,Paid Search
4124851.009,3.27E-06,0.611073376,overall,weekly,National,Retail Total,Consumer Checking - Total Balances,Paid Search
255.0752827,1.19E-05,0.611073376,overall,weekly,National,Retail Total,Consumer Savings - New Savings Accounts,Paid Search
200.4685173,5.31E-06,0.119977895,overall,weekly,National,Retail Total,Consumer Checking - New Checking Accounts,Magazine
760894.6256,3.50E-06,0.119977895,overall,weekly,National,Retail Total,Consumer Checking - Total Balances,Magazine
4661293.427,4.59E-06,0.119977895,overall,weekly,National,Retail Total,Consumer Savings - Total Balances,Magazine
1.778668658,1.50E-05,0.134547936,overall,weekly,National,Retail Total,Consumer Savings - New Savings Accounts,Outdoor
3.783754853,2.48E-05,0.134547936,overall,weekly,National,Retail Total,Consumer Checking - New Checking Accounts,Outdoor
26937.55749,6.89E-06,0.134547936,overall,weekly,National,Retail Total,Consumer Savings - Total Balances,Outdoor
4393.172241,2.50E-07,1,overall,weekly,National,Card Total,Consumer Checking - New Checking Accounts,Television
2054.160374,1.06E-06,1,overall,weekly,National,Card Total,Consumer Savings - New Savings Accounts,Television
825.8986829,9.21E-08,0.008232192,overall,weekly,National,Card Total,Consumer Checking - New Checking Accounts,Newspaper
891.1182776,2.87E-07,0.074073514,overall,weekly,National,Card Total,Consumer Checking - New Checking Accounts,Magazine
335.1085822,9.23E-08,0.005352086,overall,weekly,National,Business,Business Checking - New Checking Accounts,Online Display
409.2759339,2.47E-07,0.019931938,overall,weekly,National,Business,Business Checking - New Checking Accounts,Online Video
1173.499962,0.000318964,267.8666828,overall,weekly,National,Business,Business Checking - New Checking Accounts,Radio
220.2786923,1.04E-06,0.043741177,overall,weekly,National,Business,Business Checking - New Checking Accounts,Newspaper
207.76235,4.84E-06,0.206318915,overall,weekly,National,Corporate Total,Consumer Savings - New Savings Accounts,Newspaper
