sales1_name,chan1_name,chan2_name,all_name,dma1_name,hl,hrf,max,cpp,wks,beta,curvegroup_name
Business Checking - New Checking Accounts,Direct Mail,Consumer,overall,National,4,0.15,19128548,0.01,1,21.00000054,weekly
Business Checking - New Checking Accounts,Online Video,Business,overall,National,1.5,0.01,1395229,0.01,1,458.4277956,weekly
Business Checking - New Checking Accounts,Online Display,Ink,overall,National,1.5,0.15,10684098,0.01,1,53.2156257,weekly
Business Checking - New Checking Accounts,Radio,Business,overall,National,1.5,0.01,1593,461,1,1664.774201,weekly
Business Checking - New Checking Accounts,Online Display,Corporate,overall,National,0.5,0.01,114966539,0.01,1,4052.992519,weekly
Business Checking - New Checking Accounts,Paid Search,Business,overall,National,0.3,0.05,1883,2,1,391.2620476,weekly
Business Checking - New Checking Accounts,Online Display,Business,overall,National,1.5,0.15,39670496,0.01,1,262.065443,weekly
Business Checking - New Checking Accounts,Paid Search,Consumer,overall,National,0.3,0.01,335809,2,1,6261.782999,weekly
Business Checking - New Checking Accounts,Television,Consumer,overall,National,4,0.6,18745,146,1,132.3962308,weekly
Business Checking - New Checking Accounts,Television,Business,overall,National,1.5,0.15,10799,96,1,432.7842634,weekly
Business Savings - New Savings Accounts,Online Display,Ink,overall,National,0.5,0.15,10684098,0.01,1,16.02481057,weekly
Business Savings - New Savings Accounts,Radio,JMC,overall,National,1.5,0.05,5,1825,1,142.4885076,weekly
Business Savings - New Savings Accounts,Online Display,Consumer,overall,National,0.3,0.01,7351081,0.01,1,207.3622837,weekly
Business Savings - New Savings Accounts,Newspaper,Business,overall,National,1.5,0.15,9855,1,1,55.21300185,weekly
Business Savings - New Savings Accounts,Paid Search,Business,overall,National,0.5,0.15,1883,2,1,31.17935229,weekly
Business Savings - New Savings Accounts,Paid Search,Consumer,overall,National,0.3,0.15,335809,2,1,130.100783,weekly
Business Savings - New Savings Accounts,Television,Consumer,overall,National,4,0.3,18745,146,1,32.20209082,weekly
Business Savings - New Savings Accounts,Online Video,Ink,overall,National,0.5,0.01,6404335,0.01,1,595.602078,weekly
Business Savings - New Savings Accounts,Radio,Business,overall,National,0.3,0.01,1593,461,1,2729.306366,weekly
Business Savings - New Savings Accounts,Direct Mail,Consumer,overall,National,3,0.1,19128548,0.01,1,52.00042472,weekly
Business Savings - New Savings Accounts,Online Display,Business,overall,National,0.3,0.01,39670496,0.01,1,10324.92823,weekly
Consumer Checking - New Checking Accounts,Trade Magazine,Retail Total,overall,National,0.5,0.15,12467,1,1,148.2730989,weekly
Consumer Checking - New Checking Accounts,Newspaper,Consumer,overall,National,4,0.15,28300,1,1,223.1915644,weekly
Consumer Checking - New Checking Accounts,Online Video,Consumer,overall,National,0.3,0.01,50688024,0.01,1,2626.862254,weekly
Consumer Checking - New Checking Accounts,Magazine,Consumer,overall,National,0.3,0.01,117733,1,1,6209.332098,weekly
Consumer Checking - New Checking Accounts,Television,Retail Mortgage,overall,National,3,0.3,951,107,1,349.578064,weekly
Consumer Checking - New Checking Accounts,Online Display,Consumer,overall,National,0.5,0.01,45145360,0.01,1,14899.63827,weekly
Consumer Checking - New Checking Accounts,Television,Consumer,overall,National,6,0.15,18988,145,1,2828.400385,weekly
Consumer Checking - New Checking Accounts,Paid Search,Consumer & XLB,overall,National,0.3,0.01,1262917,2,1,189635.7932,weekly
Consumer Checking - New Checking Accounts,Television,Card Total,overall,National,4,0.3,32086,105,1,3394.650748,weekly
Consumer Checking - New Checking Accounts,Direct Mail,Consumer,overall,National,4,0.15,19128548,0.01,1,8749.000225,weekly
Consumer Checking - Total Balances,Newspaper,Consumer,overall,National,0.3,0.15,28300,1,1,3175275.926,weekly
Consumer Checking - Total Balances,Online Display,Consumer,overall,National,0.3,0.01,45145360,0.01,1,43765297.47,weekly
Consumer Checking - Total Balances,Magazine,Consumer,overall,National,0.5,0.15,117733,1,1,7645866.306,weekly
Consumer Checking - Total Balances,Paid Search,Consumer & XLB,overall,National,0.3,0.15,1262917,2,1,27704505.87,weekly
Consumer Checking - Total Balances,Television,Business Total,overall,National,0.3,0.15,10799,96,1,16617597.26,weekly
Consumer Checking - Total Balances,Television,Consumer,overall,National,4,0.15,18988,145,1,20598825.97,weekly
