"bdgt_id","dma1_name","chan2_name","chan1_name","client_id","chan2_id","chan1_id","dma1_id","sp_min_h","percent_max","sp_max_h"
"51_136_1","National","Freedom","Affiliates",10,51,136,1,NULL,NULL,NULL
"51_137_1","National","Freedom","Online Video",10,51,137,1,NULL,NULL,NULL
"51_138_1","National","Freedom","Television",10,51,138,1,NULL,NULL,NULL
"51_42_1","National","Freedom","Direct Mail",10,51,42,1,NULL,NULL,NULL
"51_57_1","National","Freedom","Online Display",10,51,57,1,NULL,NULL,NULL
"51_93_1","National","Freedom","Magazine",10,51,93,1,NULL,NULL,NULL
"52_43_1","National","Partner","Newspaper",10,52,43,1,NULL,NULL,NULL
"52_73_1","National","Partner","Paid Search",10,52,73,1,NULL,NULL,NULL
"53_73_1","National","Multicard","Paid Search",10,53,73,1,NULL,NULL,NULL
"54_136_1","National","Ink","Affiliates",10,54,136,1,NULL,NULL,NULL
"54_138_1","National","Ink","Television",10,54,138,1,NULL,NULL,NULL
"54_42_1","National","Ink","Direct Mail",10,54,42,1,NULL,NULL,NULL
"54_57_1","National","Ink","Online Display",10,54,57,1,NULL,NULL,NULL
"54_73_1","National","Ink","Paid Search",10,54,73,1,NULL,NULL,NULL
"55_136_1","National","Sapphire","Affiliates",10,55,136,1,NULL,NULL,NULL
"55_137_1","National","Sapphire","Online Video",10,55,137,1,NULL,NULL,NULL
"55_138_1","National","Sapphire","Television",10,55,138,1,NULL,NULL,NULL
"55_42_1","National","Sapphire","Direct Mail",10,55,42,1,NULL,NULL,NULL
"55_57_1","National","Sapphire","Online Display",10,55,57,1,NULL,NULL,NULL
"55_93_1","National","Sapphire","Magazine",10,55,93,1,NULL,NULL,NULL
"56_136_1","National","Slate","Affiliates",10,56,136,1,NULL,NULL,NULL
"56_42_1","National","Slate","Direct Mail",10,56,42,1,NULL,NULL,NULL
"57_138_1","National","Consumer","Television",10,57,138,1,NULL,NULL,NULL
"57_30_1","National","Consumer","Radio",10,57,30,1,NULL,NULL,NULL
"57_42_1","National","Consumer","Direct Mail",10,57,42,1,NULL,NULL,NULL
"57_73_1","National","Consumer","Paid Search",10,57,73,1,NULL,NULL,NULL
"58_137_1","National","Retail Total","Online Video",10,58,137,1,NULL,NULL,NULL
"58_138_1","National","Retail Total","Television",10,58,138,1,NULL,NULL,NULL
"58_139_1","National","Retail Total","Trade Magazine",10,58,139,1,NULL,NULL,NULL
"58_140_1","National","Retail Total","Outdoor",10,58,140,1,NULL,NULL,NULL
"58_43_1","National","Retail Total","Newspaper",10,58,43,1,NULL,NULL,NULL
"58_57_1","National","Retail Total","Online Display",10,58,57,1,NULL,NULL,NULL
"58_73_1","National","Retail Total","Paid Search",10,58,73,1,NULL,NULL,NULL
"58_93_1","National","Retail Total","Magazine",10,58,93,1,NULL,NULL,NULL
"59_138_1","National","Card Total","Television",10,59,138,1,NULL,NULL,NULL
"59_43_1","National","Card Total","Newspaper",10,59,43,1,NULL,NULL,NULL
"59_93_1","National","Card Total","Magazine",10,59,93,1,NULL,NULL,NULL
"60_137_1","National","Business","Online Video",10,60,137,1,NULL,NULL,NULL
"60_30_1","National","Business","Radio",10,60,30,1,NULL,NULL,NULL
"60_43_1","National","Business","Newspaper",10,60,43,1,NULL,NULL,NULL
"60_57_1","National","Business","Online Display",10,60,57,1,NULL,NULL,NULL
"61_43_1","National","Corporate Total","Newspaper",10,61,43,1,NULL,NULL,NULL
