"chan2_id","chan1_id","dma1_id","chan2_name","chan1_name","dma1_name","bdgt_id","cps"
51,136,1,"Freedom","Affiliates","National","51_136_1",""
57,42,1,"Consumer","Direct Mail","National","57_42_1",""
59,93,1,"Card Total","Magazine","National","59_93_1",""
60,43,1,"Business","Newspaper","National","60_43_1",""
60,57,1,"Business","Online Display","National","60_57_1",""
60,137,1,"Business","Online Video","National","60_137_1",""
58,140,1,"Retail Total","Outdoor","National","58_140_1",""
57,73,1,"Consumer","Paid Search","National","57_73_1",""
60,30,1,"Business","Radio","National","60_30_1",""
57,138,1,"Consumer","Television","National","57_138_1",""
58,139,1,"Retail Total","Trade Magazine","National","58_139_1",""
