"sales1_name","chan1_name","chan2_name","all_name","hl","hrf","max","cps","wks","dma1_name","decomp","spend","beta","a","ad","b"
"Business Checking - New Checking Accounts","Direct Mail","Consumer","overall",4,0.15,19128548,0.01,1,"National",21,1840416,21.0000005408527,21.0000005408527,0.99999997424511,9.49494098729918e-06
"Business Checking - New Checking Accounts","Online Video","Business","overall",1.5,0.01,1395229,0.01,1,"National",21,4002,458.427795572244,458.427795572244,0.0458087406628261,1.1716928071482e-05
"Business Checking - New Checking Accounts","Online Display","Ink","overall",1.5,0.15,10684098,0.01,1,"National",28,31219,53.2156256958062,53.2156256958062,0.526161247451172,2.39241551510002e-05
"Business Checking - New Checking Accounts","Radio","Business","overall",1.5,0.01,1593,461,1,"National",45,122992,1664.77420065946,1664.77420065946,0.0270306928003655,2.22801009785901e-07
"Business Checking - New Checking Accounts","Online Display","Corporate","overall",0.5,0.01,114966539,0.01,1,"National",54,122845,4052.99251886281,4052.99251886281,0.0133234886935225,1.09186720716622e-07
"Business Checking - New Checking Accounts","Paid Search","Business","overall",0.3,0.05,1883,2,1,"National",67,1263,391.262047647621,391.262047647621,0.171240733423605,0.000148713821183896
"Business Checking - New Checking Accounts","Online Display","Business","overall",1.5,0.15,39670496,0.01,1,"National",77,52933,262.065442967011,262.065442967011,0.293819738795904,6.57217135992394e-06
"Business Checking - New Checking Accounts","Paid Search","Consumer","overall",0.3,0.01,335809,2,1,"National",79,77223,6261.78299945497,6261.78299945497,0.012616214903467,1.64413129645217e-07
"Business Checking - New Checking Accounts","Television","Consumer","overall",4,0.6,18745,146,1,"National",132,1212804,132.396230769505,132.396230769505,0.997007235272466,4.79183582901634e-06
"Business Checking - New Checking Accounts","Television","Business","overall",1.5,0.15,10799,96,1,"National",253,358763,432.784263401334,432.784263401334,0.58458687478982,2.44864094536315e-06
"Business Savings - New Savings Accounts","Online Display","Ink","overall",0.5,0.15,10684098,0.01,1,"National",7,31219,16.0248105705149,16.0248105705149,0.436822636323686,1.83913856075508e-05
"Business Savings - New Savings Accounts","Radio","JMC","overall",1.5,0.05,5,1825,1,"National",11,880,142.488507645982,142.488507645982,0.0771992084254958,9.12976078255923e-05
"Business Savings - New Savings Accounts","Online Display","Consumer","overall",0.3,0.01,7351081,0.01,1,"National",13,43183,207.362283719637,207.362283719637,0.0626922107859141,1.49928367636211e-06
"Business Savings - New Savings Accounts","Newspaper","Business","overall",1.5,0.15,9855,1,1,"National",13,1011,55.2130018482433,55.2130018482433,0.235451787891037,0.000265549151353866
"Business Savings - New Savings Accounts","Paid Search","Business","overall",0.5,0.15,1883,2,1,"National",15,1263,31.1793522861713,31.1793522861713,0.481087607668258,0.000519414260464732
"Business Savings - New Savings Accounts","Paid Search","Consumer","overall",0.3,0.15,335809,2,1,"National",24,77223,130.100782973375,130.100782973375,0.184472371737468,2.64066377336977e-06
"Business Savings - New Savings Accounts","Television","Consumer","overall",4,0.3,18745,146,1,"National",30,1212804,32.20209082406,32.20209082406,0.931616526514028,2.21191890796005e-06
"Business Savings - New Savings Accounts","Online Video","Ink","overall",0.5,0.01,6404335,0.01,1,"National",36,31902,595.602078040413,595.602078040413,0.0604430396187391,1.95432366519397e-06
"Business Savings - New Savings Accounts","Radio","Business","overall",0.3,0.01,1593,461,1,"National",50,122992,2729.30636607039,2729.30636607039,0.0183196729475222,1.5033137243078e-07
"Business Savings - New Savings Accounts","Direct Mail","Consumer","overall",3,0.1,19128548,0.01,1,"National",52,1840416,52.0004247205647,52.0004247205647,0.999991832363544,6.36558853349726e-06
"Business Savings - New Savings Accounts","Online Display","Business","overall",0.3,0.01,39670496,0.01,1,"National",151,52933,10324.9282327992,10324.9282327992,0.0146247989908849,2.78329125679255e-07
"Consumer Checking - New Checking Accounts","Trade Magazine","Retail Total","overall",0.5,0.15,12467,1,1,"National",65,3661,148.273098913567,148.273098913567,0.438380262342061,0.000157588167573288
"Consumer Checking - New Checking Accounts","Newspaper","Consumer","overall",4,0.15,28300,1,1,"National",116,7051,223.191564358052,223.191564358052,0.519732904483382,0.000104015441901515
"Consumer Checking - New Checking Accounts","Online Video","Consumer","overall",0.3,0.01,50688024,0.01,1,"National",154,277804,2626.86225441127,2626.86225441127,0.0586250762640442,2.17469106183074e-07
"Consumer Checking - New Checking Accounts","Magazine","Consumer","overall",0.3,0.01,117733,1,1,"National",240,42069,6209.33209808424,6209.33209808424,0.0386515000661741,9.36991436441642e-07
"Consumer Checking - New Checking Accounts","Television","Retail Mortgage","overall",3,0.3,951,107,1,"National",299,32836,349.578063968397,349.578063968397,0.855316825677685,5.88746781532745e-05
"Consumer Checking - New Checking Accounts","Online Display","Consumer","overall",0.5,0.01,45145360,0.01,1,"National",626,154641,14899.6382705088,14899.6382705088,0.0420144428095987,2.77562723511807e-07
"Consumer Checking - New Checking Accounts","Television","Consumer","overall",6,0.15,18988,145,1,"National",2086,1225856,2828.4003849951,2828.4003849951,0.737519345233582,1.09113786268051e-06
"Consumer Checking - New Checking Accounts","Paid Search","Consumer & XLB","overall",0.3,0.01,1262917,2,1,"National",2425,294396,189635.793235915,189635.793235915,0.012787670294833,4.3717089693213e-08
"Consumer Checking - New Checking Accounts","Television","Card Total","overall",4,0.3,32086,105,1,"National",3056,1263047,3394.65074803081,3394.65074803081,0.900239885287976,1.82494145327218e-06
