"chan2_id","chan1_id","dma1_id","chan2_name","chan1_name","dma1_name","bdgt_id","cps"
40,67,146,"Card Freedom Acquisition","Direct Mail","National","40_67_146",""
46,185,146,"Card Freedom Awareness","Magazine","National","46_185_146",""
46,183,146,"Card Freedom Awareness","Online Display","National","46_183_146",""
46,184,146,"Card Freedom Awareness","Online Video","National","46_184_146",""
46,181,146,"Card Freedom Awareness","Television","National","46_181_146",""
46,181,146,"Card Freedom Awareness","Television","National","46_181_146",""
46,181,146,"Card Freedom Awareness","Television","National","46_181_146",""
41,180,146,"Card Freedom Total","Affiliates","National","41_180_146",""
55,183,146,"Card Ink Awareness","Online Display","National","55_183_146",""
55,183,146,"Card Ink Awareness","Online Display","National","55_183_146",""
55,181,146,"Card Ink Awareness","Television","National","55_181_146",""
55,181,146,"Card Ink Awareness","Television","National","55_181_146",""
49,180,146,"Card Ink Total","Affiliates","National","49_180_146",""
49,182,146,"Card Ink Total","Paid Search","National","49_182_146",""
57,182,146,"Card Multicard Brand","Paid Search","National","57_182_146",""
57,182,146,"Card Multicard Brand","Paid Search","National","57_182_146",""
53,182,146,"Card Multicard Generic","Paid Search","National","53_182_146",""
45,182,146,"Card Multicard Total","Paid Search","National","45_182_146",""
45,182,146,"Card Multicard Total","Paid Search","National","45_182_146",""
60,182,146,"Card Partner Brand","Paid Search","National","60_182_146",""
56,67,146,"Card Sapphire Acquisition","Direct Mail","National","56_67_146",""
54,185,146,"Card Sapphire Awareness","Magazine","National","54_185_146",""
54,183,146,"Card Sapphire Awareness","Online Display","National","54_183_146",""
54,184,146,"Card Sapphire Awareness","Online Video","National","54_184_146",""
54,181,146,"Card Sapphire Awareness","Television","National","54_181_146",""
54,181,146,"Card Sapphire Awareness","Television","National","54_181_146",""
48,180,146,"Card Sapphire Total","Affiliates","National","48_180_146",""
39,67,146,"Card Slate Acquisition","Direct Mail","National","39_67_146",""
43,180,146,"Card Slate Total","Affiliates","National","43_180_146",""
44,185,146,"Card Total Total","Magazine","National","44_185_146",""
44,65,146,"Card Total Total","Newspaper","National","44_65_146",""
44,181,146,"Card Total Total","Television","National","44_181_146",""
44,181,146,"Card Total Total","Television","National","44_181_146",""
42,67,146,"Consumer","Direct Mail","National","42_67_146",""
64,65,146,"Corporate Total Total","Newspaper","National","64_65_146",""
58,65,146,"Retail Business Awareness","Newspaper","National","58_65_146",""
58,183,146,"Retail Business Awareness","Online Display","National","58_183_146",""
58,184,146,"Retail Business Awareness","Online Video","National","58_184_146",""
59,182,146,"Retail Business Total","Paid Search","National","59_182_146",""
59,72,146,"Retail Business Total","Radio","National","59_72_146",""
47,183,146,"Retail Consumer Acquisition","Online Display","National","47_183_146",""
47,183,146,"Retail Consumer Acquisition","Online Display","National","47_183_146",""
47,72,146,"Retail Consumer Acquisition","Radio","National","47_72_146",""
47,72,146,"Retail Consumer Acquisition","Radio","National","47_72_146",""
47,181,146,"Retail Consumer Acquisition","Television","National","47_181_146",""
47,181,146,"Retail Consumer Acquisition","Television","National","47_181_146",""
47,181,146,"Retail Consumer Acquisition","Television","National","47_181_146",""
47,181,146,"Retail Consumer Acquisition","Television","National","47_181_146",""
50,183,146,"Retail Consumer Awareness","Online Display","National","50_183_146",""
50,183,146,"Retail Consumer Awareness","Online Display","National","50_183_146",""
50,72,146,"Retail Consumer Awareness","Radio","National","50_72_146",""
50,72,146,"Retail Consumer Awareness","Radio","National","50_72_146",""
50,181,146,"Retail Consumer Awareness","Television","National","50_181_146",""
50,181,146,"Retail Consumer Awareness","Television","National","50_181_146",""
51,182,146,"Retail Consumer Brand","Paid Search","National","51_182_146",""
62,182,146,"Retail Consumer Total","Paid Search","National","62_182_146",""
52,183,146,"Retail Mortgage Acquisition","Online Display","National","52_183_146",""
65,183,146,"Retail Other Engagement","Online Display","National","65_183_146",""
63,183,146,"Retail Other Total","Online Display","National","63_183_146",""
61,185,146,"Retail Total Total","Magazine","National","61_185_146",""
61,65,146,"Retail Total Total","Newspaper","National","61_65_146",""
61,65,146,"Retail Total Total","Newspaper","National","61_65_146",""
61,184,146,"Retail Total Total","Online Video","National","61_184_146",""
61,184,146,"Retail Total Total","Online Video","National","61_184_146",""
61,187,146,"Retail Total Total","Outdoor","National","61_187_146",""
61,187,146,"Retail Total Total","Outdoor","National","61_187_146",""
61,182,146,"Retail Total Total","Paid Search","National","61_182_146",""
61,182,146,"Retail Total Total","Paid Search","National","61_182_146",""
61,186,146,"Retail Total Total","Trade Magazine","National","61_186_146",""
